SV 000001,PYM 001,8/17/2019,8946.3
SV 000002,PYM 001,3/15/2020,24514.68
SV 000003,PYM 002,5/31/2019,44790.9
SV 000004,PYM 002,12/26/2019,44453.42
SV 000005,PYM 002,10/24/2019,86238.18
SV 000006,PYM 001,11/8/2019,19206.86
SV 000007,PYM 002,10/20/2019,76032.33
SV 000008,PYM 002,4/1/2019,83907.94
SV 000009,PYM 002,12/7/2019,75855.2
SV 000010,PYM 002,3/23/2019,31369.88
SV 000011,PYM 001,2/1/2019,41878.9
SV 000012,PYM 002,10/1/2019,56336.53
SV 000013,PYM 001,12/7/2019,89728.46
SV 000014,PYM 002,9/12/2019,19095.29
SV 000015,PYM 002,8/20/2019,43570.26
SV 000016,PYM 001,12/14/2019,24425.39
SV 000017,PYM 001,1/20/2020,61565.49
SV 000018,PYM 001,12/24/2019,36318.58
SV 000019,PYM 001,10/27/2019,42377.9
SV 000020,PYM 001,3/17/2019,28818.31
SV 000021,PYM 002,2/11/2019,30673.28
SV 000022,PYM 001,5/26/2019,41524.1
SV 000023,PYM 001,7/13/2019,88347.94
SV 000024,PYM 001,5/29/2019,99601.4
SV 000025,PYM 001,3/12/2020,47006.44
SV 000026,PYM 001,6/9/2019,83143.03
SV 000027,PYM 002,11/16/2019,36345.25
SV 000028,PYM 001,11/13/2019,12431.57
SV 000029,PYM 002,2/28/2020,68639.55
SV 000030,PYM 002,8/5/2019,76972.79
SV 000031,PYM 002,11/28/2019,15043.61
SV 000032,PYM 002,12/20/2019,15289.73
SV 000033,PYM 002,2/9/2020,49912.97
SV 000034,PYM 001,1/20/2019,12433.93
SV 000035,PYM 001,1/20/2019,45422.88
SV 000036,PYM 002,5/8/2019,71095.96
SV 000037,PYM 002,2/16/2020,57529.06
SV 000038,PYM 001,1/30/2020,71271.55
SV 000039,PYM 002,12/21/2019,32696.67
SV 000040,PYM 002,1/26/2019,23619.46
SV 000041,PYM 001,5/25/2019,21078.02
SV 000042,PYM 001,10/11/2019,68823.33
SV 000043,PYM 001,11/4/2019,66467.95
SV 000044,PYM 001,6/30/2019,66209.29
SV 000045,PYM 001,1/25/2019,9608.6
SV 000046,PYM 002,4/18/2019,6078.68
SV 000047,PYM 002,2/27/2020,18120.74
SV 000048,PYM 001,7/18/2019,54056.39
SV 000049,PYM 002,2/8/2019,36033.36
SV 000050,PYM 002,2/1/2019,91618.84
SV 000051,PYM 001,8/4/2019,22054.6
SV 000052,PYM 002,1/6/2020,70341.75
