PP 000001,SVT 001,5/16/2019,Flowers Trimming of shrubs and bushes
PP 000002,SVT 002,9/16/2019,Replanting of plants
PP 000003,SVT 003,12/13/2019,Hard surfaces Dead Heading of plants
PP 000004,SVT 001,1/29/2020,Cutting the Grass Edging Weeding of boarders
PP 000005,SVT 002,6/19/2019,Replanting of plants
PP 000006,SVT 003,1/8/2020,Flowers Trimming of shrubs and bushes
PP 000007,SVT 001,2/22/2020,Replanting of plants
PP 000008,SVT 002,7/6/2019,Hard surfaces Dead Heading of plants
PP 000009,SVT 003,4/16/2019,Cutting the Grass Edging Weeding of boarders
PP 000010,SVT 001,1/19/2020,Replanting of plants
PP 000011,SVT 002,9/4/2019,Flowers Trimming of shrubs and bushes
PP 000012,SVT 003,9/10/2019,Replanting of plants
PP 000013,SVT 001,10/17/2019,Hard surfaces Dead Heading of plants
PP 000014,SVT 002,8/10/2019,Cutting the Grass Edging Weeding of boarders
PP 000015,SVT 003,12/1/2019,Replanting of plants
PP 000016,SVT 001,12/16/2019,Flowers Trimming of shrubs and bushes
PP 000017,SVT 002,9/9/2019,Replanting of plants
PP 000018,SVT 003,9/25/2019,Hard surfaces Dead Heading of plants
PP 000019,SVT 001,9/15/2019,Cutting the Grass Edging Weeding of boarders
PP 000020,SVT 002,1/30/2020,Replanting of plants
PP 000021,SVT 003,7/13/2019,Flowers Trimming of shrubs and bushes
PP 000022,SVT 001,4/4/2019,Replanting of plants
PP 000023,SVT 002,7/17/2019,Hard surfaces Dead Heading of plants
PP 000024,SVT 003,5/19/2019,Cutting the Grass Edging Weeding of boarders
PP 000025,SVT 001,7/6/2019,Replanting of plants
PP 000026,SVT 002,5/17/2019,Flowers Trimming of shrubs and bushes
PP 000027,SVT 003,2/28/2020,Replanting of plants
PP 000028,SVT 001,3/2/2020,Hard surfaces Dead Heading of plants
PP 000029,SVT 002,6/12/2019,Cutting the Grass Edging Weeding of boarders
PP 000030,SVT 003,12/20/2019,Replanting of plants
PP 000031,SVT 001,10/13/2019,Flowers Trimming of shrubs and bushes
PP 000032,SVT 002,6/4/2019,Replanting of plants
PP 000033,SVT 003,12/22/2019,Hard surfaces Dead Heading of plants
PP 000034,SVT 001,1/31/2020,Cutting the Grass Edging Weeding of boarders
PP 000035,SVT 002,1/12/2020,Replanting of plants
PP 000036,SVT 003,9/5/2019,Flowers Trimming of shrubs and bushes
PP 000037,SVT 001,3/11/2020,Replanting of plants
PP 000038,SVT 002,6/18/2019,Hard surfaces Dead Heading of plants
