EMP 2020 000002,SV 000001,5/29/2019,6.78,Seeding
EMP 2020 000004,SV 000002,9/27/2019,5.54,Transplanting
EMP 2020 000010,SV 000003,12/3/2019,6.79,Weeding
EMP 2020 000013,SV 000004,2/26/2020,7.44,Trimming
EMP 2020 000014,SV 000005,12/1/2019,4.84,Pruning
EMP 2020 000015,SV 000006,1/7/2020,6.43,Soil Testing
EMP 2020 000018,SV 000007,12/5/2019,4.23,Fertilizing
EMP 2020 000020,SV 000008,12/4/2019,5.0,Composting
EMP 2020 000021,SV 000009,3/7/2020,7.62,Seeding
EMP 2020 000022,SV 000010,12/8/2019,7.35,Transplanting
EMP 2020 000023,SV 000011,11/29/2019,5.81,Weeding
EMP 2020 000024,SV 000012,6/8/2019,6.99,Trimming
EMP 2020 000025,SV 000013,4/7/2019,6.56,Pruning
EMP 2020 000026,SV 000014,4/25/2019,6.53,Soil Testing
EMP 2020 000027,SV 000015,5/16/2019,4.97,Fertilizing
EMP 2020 000028,SV 000016,1/2/2020,4.39,Composting
EMP 2020 000029,SV 000017,7/12/2019,6.95,Seeding
EMP 2020 000030,SV 000018,9/7/2019,4.14,Transplanting
EMP 2020 000031,SV 000019,9/19/2019,4.83,Weeding
EMP 2020 000032,SV 000020,10/18/2019,7.03,Trimming
EMP 2020 000033,SV 000021,6/27/2019,7.99,Pruning
EMP 2020 000034,SV 000022,12/14/2019,5.8,Soil Testing
EMP 2020 000035,SV 000023,3/25/2019,5.88,Fertilizing
EMP 2020 000036,SV 000024,6/20/2019,7.64,Composting
EMP 2020 000037,SV 000025,10/2/2019,4.71,Seeding
EMP 2020 000038,SV 000026,5/6/2019,7.17,Transplanting
EMP 2020 000039,SV 000027,9/8/2019,5.36,Weeding
EMP 2020 000040,SV 000028,10/4/2019,5.32,Trimming
EMP 2020 000041,SV 000029,10/11/2019,5.53,Pruning
EMP 2020 000042,SV 000030,1/29/2020,6.32,Soil Testing
EMP 2020 000043,SV 000031,8/30/2019,6.03,Fertilizing
EMP 2020 000044,SV 000032,7/15/2019,4.24,Composting
EMP 2020 000045,SV 000033,10/26/2019,5.04,Seeding
EMP 2020 000046,SV 000034,2/28/2020,5.78,Transplanting
EMP 2020 000047,SV 000035,12/5/2019,7.99,Weeding
EMP 2020 000048,SV 000036,5/6/2019,5.7,Trimming
EMP 2020 000049,SV 000037,11/2/2019,4.24,Pruning
EMP 2020 000050,SV 000038,1/3/2020,5.49,Soil Testing
EMP 2020 000051,SV 000039,5/20/2019,7.69,Fertilizing
EMP 2020 000052,SV 000040,11/25/2019,7.26,Composting
EMP 2020 000053,SV 000041,11/8/2019,6.2,Seeding
EMP 2020 000054,SV 000042,11/12/2019,7.98,Transplanting
EMP 2020 000055,SV 000043,2/12/2020,5.92,Weeding
EMP 2020 000056,SV 000044,10/12/2019,4.71,Trimming
EMP 2020 000057,SV 000045,4/4/2019,5.92,Pruning
EMP 2020 000058,SV 000046,2/26/2020,4.52,Soil Testing
EMP 2020 000059,SV 000047,5/9/2019,5.51,Fertilizing
EMP 2020 000060,SV 000048,11/11/2019,7.61,Composting
EMP 2020 000061,SV 000049,2/27/2020,7.38,Seeding
EMP 2020 000062,SV 000050,12/21/2019,6.88,Transplanting
EMP 2020 000063,SV 000051,7/26/2019,7.17,Weeding
EMP 2020 000064,SV 000052,8/28/2019,5.81,Trimming
EMP 2020 000065,SV 000053,9/10/2019,7.24,Pruning
EMP 2020 000066,SV 000054,4/3/2019,7.97,Soil Testing
EMP 2020 000067,SV 000055,9/5/2019,5.6,Fertilizing
EMP 2020 000068,SV 000056,10/11/2019,7.28,Composting
EMP 2020 000069,SV 000057,2/7/2020,7.93,Seeding
EMP 2020 000070,SV 000058,2/22/2020,4.65,Transplanting
EMP 2020 000002,SV 000059,1/8/2020,5.65,Weeding
EMP 2020 000004,SV 000060,11/28/2019,6.67,Trimming
EMP 2020 000010,SV 000061,12/23/2019,7.99,Pruning
EMP 2020 000013,SV 000062,9/5/2019,6.65,Soil Testing
EMP 2020 000014,SV 000063,6/1/2019,7.09,Fertilizing
EMP 2020 000015,SV 000064,4/18/2019,7.67,Composting
EMP 2020 000018,SV 000065,6/23/2019,6.1,Seeding
EMP 2020 000020,SV 000066,1/6/2020,5.06,Transplanting
EMP 2020 000021,SV 000067,12/31/2019,4.95,Weeding
EMP 2020 000022,SV 000068,6/19/2019,7.75,Trimming
EMP 2020 000023,SV 000069,7/29/2019,5.83,Pruning
EMP 2020 000024,SV 000070,6/7/2019,5.4,Soil Testing
EMP 2020 000025,SV 000071,12/22/2019,7.61,Fertilizing
EMP 2020 000026,SV 000072,6/18/2019,6.9,Composting
EMP 2020 000027,SV 000073,7/6/2019,4.19,Seeding
EMP 2020 000028,SV 000074,10/29/2019,7.27,Transplanting
EMP 2020 000029,SV 000075,4/30/2019,7.79,Weeding
EMP 2020 000030,SV 000076,8/13/2019,4.95,Trimming
EMP 2020 000031,SV 000077,1/16/2020,7.7,Pruning
EMP 2020 000032,SV 000078,4/28/2019,4.81,Soil Testing
EMP 2020 000033,SV 000079,7/29/2019,4.84,Fertilizing
EMP 2020 000034,SV 000080,7/2/2019,5.53,Composting
EMP 2020 000035,SV 000081,9/24/2019,7.97,Seeding
EMP 2020 000036,SV 000082,12/8/2019,5.75,Transplanting
EMP 2020 000037,SV 000083,12/13/2019,7.76,Weeding
EMP 2020 000038,SV 000084,6/25/2019,4.9,Trimming
EMP 2020 000039,SV 000085,2/7/2020,5.89,Pruning
EMP 2020 000040,SV 000086,12/23/2019,7.3,Soil Testing
EMP 2020 000041,SV 000087,4/19/2019,4.99,Fertilizing
EMP 2020 000042,SV 000088,6/4/2019,6.95,Composting
EMP 2020 000043,SV 000089,1/17/2020,7.79,Seeding
EMP 2020 000044,SV 000090,10/8/2019,6.39,Transplanting
EMP 2020 000045,SV 000091,1/14/2020,5.29,Weeding
EMP 2020 000046,SV 000092,5/25/2019,7.53,Trimming
EMP 2020 000047,SV 000093,8/21/2019,4.21,Pruning
EMP 2020 000048,SV 000094,12/29/2019,4.7,Soil Testing
EMP 2020 000049,SV 000095,3/13/2020,5.06,Fertilizing
EMP 2020 000050,SV 000096,11/25/2019,7.67,Composting
EMP 2020 000051,SV 000097,6/28/2019,6.6,Seeding
EMP 2020 000052,SV 000098,4/8/2019,6.6,Transplanting
EMP 2020 000053,SV 000099,5/25/2019,5.49,Weeding
EMP 2020 000054,SV 000100,11/9/2019,5.65,Trimming
EMP 2020 000055,SV 000101,1/2/2020,4.74,Pruning
EMP 2020 000056,SV 000102,5/4/2019,6.46,Soil Testing
EMP 2020 000057,SV 000103,10/14/2019,4.44,Fertilizing
EMP 2020 000058,SV 000104,4/12/2019,7.09,Composting
EMP 2020 000059,SV 000105,2/12/2020,6.69,Seeding
EMP 2020 000060,SV 000106,11/25/2019,5.73,Transplanting
EMP 2020 000061,SV 000107,8/4/2019,5.66,Weeding
EMP 2020 000062,SV 000108,1/24/2020,6.89,Trimming
EMP 2020 000063,SV 000109,12/23/2019,4.43,Pruning
EMP 2020 000064,SV 000110,8/20/2019,4.33,Soil Testing
EMP 2020 000065,SV 000111,11/27/2019,7.26,Fertilizing
EMP 2020 000066,SV 000112,2/23/2020,5.11,Composting
EMP 2020 000067,SV 000113,11/24/2019,4.05,Seeding
EMP 2020 000068,SV 000114,1/18/2020,4.49,Transplanting
EMP 2020 000069,SV 000115,3/18/2019,7.65,Weeding
EMP 2020 000070,SV 000116,3/15/2020,7.07,Trimming
EMP 2020 000002,SV 000117,12/19/2019,7.55,Pruning
